RunId;Time;CP;VM;Label;Status;Value;Detail
20260919-050000;2026-09-19T05:03:55;CP23;SRV-OLD01;Contrôle post-restauration;SKIP;;pas de point de restauration
20260919-050000;2026-09-19T05:03:58;CP30;SRV-OLD01;Contrôle post-restauration;SKIP;;pas de point de restauration
20260919-050000;2026-09-19T05:04:01;CP40;SRV-OLD01;Contrôle post-restauration;SKIP;;pas de point de restauration
20260919-050000;2026-09-19T05:55:06;CP12;SRV-AD01;Session de restauration terminée;OK;;Success
20260919-050000;2026-09-19T05:55:09;CP13;SRV-AD01;Durée de restauration <= 45 min;OK;17.5;17.5 min
20260919-050000;2026-09-19T05:56:21;CP20;SRV-AD01;VM démarrée;OK;;power_state = ON
20260919-050000;2026-09-19T05:56:24;CP21;SRV-AD01;Cartes réseau sur le sous-réseau isolé uniquement;OK;;
20260919-050000;2026-09-19T05:56:27;CP22;SRV-AD01;Adresse IP remontée (Nutanix Guest Tools);OK;;192.168.250.11
20260919-050000;2026-09-19T05:56:30;CP23;SRV-AD01;Ping depuis la sonde;OK;;192.168.250.11
20260919-050000;2026-09-19T05:56:33;CP30;SRV-AD01;Applicatif : RDP (Windows);OK;;tcp/3389
20260919-050000;2026-09-19T05:56:36;CP30;SRV-AD01;Applicatif : LDAP;OK;;anonymous RootDSE bind OK
20260919-050000;2026-09-19T05:56:39;CP30;SRV-AD01;Applicatif : Zone DNS;OK;;example.local -> 192.168.250.11
20260919-050000;2026-09-19T05:56:42;CP30;SRV-AD01;Applicatif : Kerberos;OK;;tcp/88
20260919-050000;2026-09-19T05:57:25;CP40;SRV-AD01;VM de test supprimée;OK;;RV-SRV-AD01
20260919-050000;2026-09-19T05:57:28;CP12;SRV-FILE01;Session de restauration terminée;OK;;Success
20260919-050000;2026-09-19T05:57:31;CP13;SRV-FILE01;Durée de restauration <= 45 min;OK;8.6;8.6 min
20260919-050000;2026-09-19T05:58:43;CP20;SRV-FILE01;VM démarrée;OK;;power_state = ON
20260919-050000;2026-09-19T05:58:46;CP21;SRV-FILE01;Cartes réseau sur le sous-réseau isolé uniquement;OK;;
20260919-050000;2026-09-19T05:58:49;CP22;SRV-FILE01;Adresse IP remontée (Nutanix Guest Tools);OK;;192.168.250.12
20260919-050000;2026-09-19T05:58:52;CP23;SRV-FILE01;Ping depuis la sonde;OK;;192.168.250.12
20260919-050000;2026-09-19T05:58:55;CP30;SRV-FILE01;Applicatif : RDP (Windows);OK;;tcp/3389
20260919-050000;2026-09-19T05:58:58;CP30;SRV-FILE01;Applicatif : SMB;OK;;tcp/445
20260919-050000;2026-09-19T05:59:41;CP40;SRV-FILE01;VM de test supprimée;OK;;RV-SRV-FILE01
20260919-050000;2026-09-19T05:59:44;CP12;SRV-WEB01;Session de restauration terminée;OK;;Success
20260919-050000;2026-09-19T05:59:47;CP13;SRV-WEB01;Durée de restauration <= 45 min;OK;13.5;13.5 min
20260919-050000;2026-09-19T06:00:59;CP20;SRV-WEB01;VM démarrée;OK;;power_state = ON
20260919-050000;2026-09-19T06:01:02;CP21;SRV-WEB01;Cartes réseau sur le sous-réseau isolé uniquement;OK;;
20260919-050000;2026-09-19T06:01:05;CP22;SRV-WEB01;Adresse IP remontée (Nutanix Guest Tools);OK;;192.168.250.13
20260919-050000;2026-09-19T06:01:08;CP23;SRV-WEB01;Ping depuis la sonde;OK;;192.168.250.13
20260919-050000;2026-09-19T06:01:11;CP30;SRV-WEB01;Applicatif : RDP (Windows);OK;;tcp/3389
20260919-050000;2026-09-19T06:01:14;CP30;SRV-WEB01;Applicatif : Health endpoint;KO;;HTTP 503 https://192.168.250.13/health
20260919-050000;2026-09-19T06:01:57;CP40;SRV-WEB01;VM de test supprimée;OK;;RV-SRV-WEB01
20260919-050000;2026-09-19T06:02:00;CP12;SRV-SQL01;Session de restauration terminée;OK;;Success
20260919-050000;2026-09-19T06:02:03;CP13;SRV-SQL01;Durée de restauration <= 45 min;WARN;51.4;51.4 min - RTO cible dépassé
20260919-050000;2026-09-19T06:17:29;CP20;SRV-SQL01;VM démarrée;OK;;power_state = ON
20260919-050000;2026-09-19T06:17:32;CP21;SRV-SQL01;Cartes réseau sur le sous-réseau isolé uniquement;OK;;
20260919-050000;2026-09-19T06:17:35;CP22;SRV-SQL01;Adresse IP remontée (Nutanix Guest Tools);WARN;;aucune IP - NGT absent, pas de DHCP sur le sous-réseau isolé ou OS non démarré
20260919-050000;2026-09-19T06:17:38;CP23;SRV-SQL01;Ping depuis la sonde;SKIP;;pas d'adresse IP
20260919-050000;2026-09-19T06:17:41;CP30;SRV-SQL01;Contrôles applicatifs;SKIP;;pas d'adresse IP
20260919-050000;2026-09-19T06:18:24;CP40;SRV-SQL01;VM de test supprimée;OK;;RV-SRV-SQL01
